"BehaviorSpace results (NetLogo 6.1.0)"
"Sugarscape Pension Law.nlogo"
"pensionsExperiments"
"08/12/2019 15:23:25:918 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","minimum-sugar-endowment","maximum-sugar-endowment","visualization","random-initial-age","resources-occupation","social-services","productivity-decay","initial-population","retirement-age","pension-taxes","fixed-fee","[step]","precision piggy-bank 2","precision  (   accumulated-gdp / ( ticks + 1) )  2","precision  ( (gini-index-reserve / count turtles) * 2)  2","died-working-turtles","died-retired-turtles","(died-retired-turtles + died-working-turtles)"
"116","5","25","no-visualization","true","true","false","false","400","100","10","1","1000","464413.1","983.41","0.44","10806","0","10806"
"117","5","25","no-visualization","true","true","false","false","400","100","10","1","1000","464927.3","983.99","0.49","10536","0","10536"
"118","5","25","no-visualization","true","true","false","false","400","100","10","1","1000","463722","982.98","0.47","10797","0","10797"
"119","5","25","no-visualization","true","true","false","false","400","100","10","1","1000","464253.6","983.3","0.47","10722","0","10722"
"121","5","25","no-visualization","true","true","false","false","400","100","28.3","0","1000","277507.54","979.61","0.46","7130","0","7130"
"120","5","25","no-visualization","true","true","false","false","400","100","10","1","1000","464409.2","983.42","0.49","10861","0","10861"
"122","5","25","no-visualization","true","true","false","false","400","100","28.3","0","1000","277305.19","978.9","0.47","7133","0","7133"
"123","5","25","no-visualization","true","true","false","false","400","100","28.3","0","1000","276916.07","977.52","0.46","7144","0","7144"
"124","5","25","no-visualization","true","true","false","false","400","100","28.3","0","1000","277541.78","979.73","0.44","7113","0","7113"
"125","5","25","no-visualization","true","true","false","false","400","100","28.3","0","1000","276992.19","977.79","0.47","7239","0","7239"
"126","5","25","no-visualization","true","true","false","false","400","100","28.3","0","1000","276867.67","977.35","0.49","7299","0","7299"
"127","5","25","no-visualization","true","true","false","false","400","100","28.3","0","1000","277520.27","979.66","0.46","7076","0","7076"
"128","5","25","no-visualization","true","true","false","false","400","100","28.3","0","1000","276734.1","976.88","0.47","7080","0","7080"
"129","5","25","no-visualization","true","true","false","false","400","100","28.3","0","1000","277521.97","979.66","0.49","7181","0","7181"
"130","5","25","no-visualization","true","true","false","false","400","100","28.3","0","1000","277169.35","978.42","0.46","7027","0","7027"
"131","5","25","no-visualization","true","true","false","false","400","100","28.3","0.1","1000","316926","980.58","0.46","8094","0","8094"
"132","5","25","no-visualization","true","true","false","false","400","100","28.3","0.1","1000","316841.71","980.3","0.48","8118","0","8118"
"134","5","25","no-visualization","true","true","false","false","400","100","28.3","0.1","1000","316992.95","980.82","0.47","8081","0","8081"
"133","5","25","no-visualization","true","true","false","false","400","100","28.3","0.1","1000","316784.28","979.99","0.47","7834","0","7834"
"135","5","25","no-visualization","true","true","false","false","400","100","28.3","0.1","1000","317093.9","981.11","0.48","7925","0","7925"
"136","5","25","no-visualization","true","true","false","false","400","100","28.3","0.1","1000","316882.63","980.42","0.47","8078","0","8078"
"137","5","25","no-visualization","true","true","false","false","400","100","28.3","0.1","1000","316935.8","980.67","0.47","8259","0","8259"
"139","5","25","no-visualization","true","true","false","false","400","100","28.3","0.1","1000","316982.23","980.83","0.46","8217","0","8217"
"138","5","25","no-visualization","true","true","false","false","400","100","28.3","0.1","1000","317022.81","980.92","0.46","8070","0","8070"
"140","5","25","no-visualization","true","true","false","false","400","100","28.3","0.1","1000","316328.26","978.39","0.46","7893","0","7893"
